,post_id,perc_miss_comment_author,total_num_nodes,total_density,num_weak_component,num_strong_component,main_miss_node,main_num_nodes,main_density,main_transitivity,main_avg_shortest_path,main_diameter,main_radius,main_eccentricity_mean,main_eccentrisity_std,avg_periphery_lkarma,avg_periphery_ckarma,avg_center_lkarma,avg_center_ckarma,in_degree_top_avg_lkarma,in_degree_top_avg_ckarma,out_degree_top_avg_lkarma,out_degree_top_avg_ckarma,close_top_avg_lkarma,close_top_avg_ckarma,between_top_avg_lkarma,between_top_avg_ckarma,hub_top_avg_lkarma,hub_top_avg_ckarma,auth_top_avg_lkarma,auth_top_avg_ckarma,author_lkarma,author_ckarma
3359,27825l,0.18181818181818182,8,0.125,1,8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3360,278bfk,0.2345679012345679,55,0.024242424242424242,3,40,0.3,10.0,0.2111111111111111,0.13333333333333333,5.644444444444445,5.0,2.0,3.7,0.9,273.0,4113.5,,,20285.0,7742.0,,,20285.0,7742.0,,,,,,,,
3361,278fky,0.4,15,0.05714285714285714,3,15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3362,278kzt,0.18894601542416453,250,0.006393574297188755,4,156,0.038461538461538464,78.0,0.030303030303030304,0.022292993630573247,6.240259740259741,12.0,6.0,8.038461538461538,1.324738074665867,175.0,14159.0,559.3333333333334,2511.3333333333335,15060.42857142857,57182.42857142857,4043.0,61815.71428571428,20025.428571428572,21850.571428571428,897.4285714285714,47657.857142857145,6748.0,55453.125,17222.285714285714,38695.57142857143,376973.0,286507.0
3363,278m54,0.1111111111111111,7,0.16666666666666666,1,6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3364,278n0t,0.14285714285714285,14,0.08241758241758242,1,13,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3365,278ytz,0.05263157894736842,15,0.08095238095238096,2,12,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3366,279ca4,0.20382165605095542,79,0.016553067185978577,1,68,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3367,279yjf,0.19047619047619047,78,0.016317016317016316,4,62,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3368,27a1k0,0.20588235294117646,44,0.024841437632135307,3,38,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3369,27a5et,0.15384615384615385,60,0.02288135593220339,2,44,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3370,27a5ic,0.5,3,0.3333333333333333,1,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3371,27ahck,0.19718309859154928,31,0.03655913978494624,5,23,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3372,27b64e,0.19254658385093168,225,0.005734126984126984,6,189,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3373,27ba88,0.0,2,0.5,1,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3374,27bagp,0.13333333333333333,45,0.026767676767676767,2,38,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3375,27bdzz,0.2185792349726776,80,0.016139240506329113,2,63,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3376,27bem1,0.21935483870967742,62,0.022739291380222106,2,48,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3377,27bhbv,0.256198347107438,109,0.015120625212368332,3,59,0.06818181818181818,44.0,0.0507399577167019,0.05339805825242718,6.841966173361522,13.0,6.0,9.795454545454545,1.631780197076263,3668.0,15234.0,260.0,1407.0,105.33333333333333,1272.6666666666667,1714.5,28566.25,8550.666666666666,3943.0,9191.333333333334,9739.333333333334,612.5,67006.25,87.33333333333333,3047.0,,
3378,27bpe2,0.16326530612244897,32,0.03528225806451613,2,29,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3379,27but7,0.11538461538461539,22,0.047619047619047616,1,21,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3380,27cc94,0.2540415704387991,1240,0.0012868077794266969,25,826,0.05732484076433121,314.0,0.008129667690930181,0.06494287432351173,7.552206914796199,18.0,9.0,13.28343949044586,1.741013217470981,280.0,3588.0,6292.666666666667,48021.0,22896.5,37764.807692307695,20482.620689655174,55186.75862068965,4712.233333333334,34676.166666666664,20048.555555555555,44407.0,6142.758620689655,22967.172413793105,4274.758620689655,26203.206896551725,9584.0,20309.0
